"field","react","react_keys","ember","ember_keys","ember2","ember2_keys","incrementaldom","incrementaldom_keys","angular1","angular1_trackby","angular2","mithril","mithril_keys","virtualdom","virtualdom_keys","citojs","citojs_keys"
"MajorGC",11.823199999332427,13.237200006842613,352.42060000002385,24.876000002026558,419.47159997820853,19.69540001153946,9.55220000743866,10.591999995708466,260.67779999673365,0.07940002679824829,29.45919998586178,20.19359999895096,23.270399993658067,13.186600008606911,10.297599989175797,11.305800002813339,30.489599999785423
"MinorGC",27.35839999616146,31.024799990653992,873.4576000154018,223.3243999928236,808.3821999937296,142.05179999768734,19.567999997735022,16.995199996232987,314.0644000470638,58.10819999575615,59.40320000052452,92.21639999449253,85.02719998955726,85.70059999525547,84.38160000443459,89.55360000431537,121.36919998824597
"Layout",113.22040001153945,143.91599999070166,349.0443999737501,663.5832000166178,376.3510000526905,786.9635999679565,438.59020000100134,356.06400000154974,146.02920001149178,295.30200001001356,294.1662000060081,185.5145999968052,178.3900000065565,257.18140000700953,261.19080002605915,1587.2044000327587,942.0582000076771
"Paint",63.06099999845028,70.39039999246597,165.58040000498295,292.0598000198603,179.950599989295,346.8436000049114,179.6371999770403,131.57159999012947,65.0599999845028,93.78059998750686,96.80860000252724,87.69500002264977,89.1246000111103,95.22699999213219,96.85879999101162,760.7348000198602,431.79020002782346
"mean_frame_time",18.591968186391895,19.15193423163991,25.41473409530223,20.65046840001248,24.919395312464285,21.421294921576305,18.465818105145747,18.077533209538462,25.64019753551718,19.547136391936707,20.007081713688862,18.69382154649251,20.01129789867768,18.275109072158095,18.402933755284263,19.96845534303249,19.806000960150865
"droppedFrameCount",179.4,181.4,660.4,527.2,638.8,544.2,177.2,152.8,432,164.6,173.2,212.2,229.4,185,187.6,352.8,265
"ExpensivePaints",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ExpensiveEventHandlers",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NodePerLayout_avg",4011.0275613275617,4005.9001831501832,5411.633676261127,5809.450878585352,5408.531060606061,5808.997893066728,3007.434852384852,3007.33383372048,4019.2151515151513,4204.162770562771,4015.069038208169,3008.6684210526314,3008.35357757138,3010.684986246193,3006.2871008939974,3008.2060078953887,3008.5547276586694
"frames_per_sec",53.7968613136734,52.22769302842511,39.81544922563353,48.43280472854029,40.15315945682372,46.94348147134393,54.281375217517734,55.325843866072525,39.00248549126684,51.15869027549218,50.01186692662509,53.494380671662555,50.48509676011339,54.719830826888256,54.339900158047065,50.080141450011574,50.57634150974004
"percentage_smooth",85.8296163283615,84.76763766763574,43.7542441474605,75.89875780005697,56.12528955535297,76.402275630625,92.0799968931075,93.55385493435269,86.20501169848428,91.55590860360883,90.55844109963932,94.29554827543325,94.23156352697393,92.39685475660816,91.55444050264806,78.42010352620512,84.45972528069873
"domReadyTime",24.6,24,691.2,679.6,635.6,597.4,22.6,22.4,576.4,577.8,38.2,20,20.2,21.6,22.6,22.8,22.4
"totalJSHeapSize_max",36980000,45860000,159200000,79480000,139200000,72200000,29400000,29400000,139200000,64000000,79560000,55480000,56800000,71560000,68680000,43140000,51820000
"totalJSHeapSize_avg",36980000,45860000,159200000,79480000,139200000,72200000,29400000,29400000,139200000,64000000,79560000,55480000,56800000,71560000,68680000,43140000,51820000
"usedJSHeapSize_max",16500000,15980000,132800000,51760000,116000000,42620000,12540000,11520000,97140000,30120000,48820000,20740000,19560000,24720000,23680000,16620000,19980000
"usedJSHeapSize_avg",16500000,15980000,132800000,51760000,116000000,42620000,12540000,11520000,97140000,30120000,48820000,20740000,19560000,24720000,23680000,16620000,19980000
"Javascript",736.0429998874664,916.1892000883818,9762.163800019025,6257.109600019455,9398.520999974013,6176.7362000703815,729.8436000078916,634.6353999137879,4769.820400032401,1442.840999892354,1498.0233999371528,1253.0490000367165,1324.1293997973203,976.5225999206305,1035.7745998948812,1689.8338000029325,1303.0839999347925
